label,city_id
José Sixto Verduzco,-wipaIvUGTM_6EL0lX8-Gg
Jungapeo,SttSpQ8vHSj3UlPO3nb1eg
Juárez,OKeB5i3N1wdc7CFPPyRoaw
La Huacana,2W66FHzvsGaSK8zngqiwmg
La Piedad,ckuvqQreF3DQ_Ltcrq3CWQ
Lagunillas,NvW-f7CFDYEfhvuDYCN2JA
Los Reyes,Q5wubbBGPY9MYs9OnayJkw
Lázaro Cárdenas,kCEYV79-7uM0bvb623oM6g
Madero,QNEYcNh2ClEXK1vMzmd36w
Maravatío,ec17B5n3_sEHkNYQoVmJTQ
Marcos Castellanos,DSbRyiduobZosWpkIM3kVA
Morelia,YI5lTkbgJwC6pNs6VhMclQ
Morelos,KPO14TLytaensYHn6_YziA
Múgica,KtFheVoRYrYJlGGjgLmEOw
Nahuatzen,98GE7-rxb3KiKwyj63jEag
Nocupétaro,CULtt_CI3eDVERxfIo_bxA
Nuevo Parangaricutiro,6jlL0EiDAoxr5v0tIGEE2Q
Nuevo Urecho,ygH83ZPpY3xxJq_iTSqEUw
Numarán,vMcnxc-h6wmVs-avqrmYrA
Ocampo,FP5FgPY4I9LY5yUIBZzZCw
Pajacuarán,xjQ_7Le_TzxkPTfWNnKppw
Panindícuaro,3nB2xL-UB4mhK13VzeL_ng
Paracho,mfvUxZ6kE-HJy9qX503eqw
Parácuaro,Wdovi9TzuOACQVa8dW14HQ
Penjamillo,p1wriQHYVKU_z7xst13Ong
Peribán,AB9KKUsNMFJe-cOTU_qRJQ
Puruándiro,0c5XB6g-I2x7VHAqAiELdA
Purépero,UcNAvdvvB2B9npW14mieIA
Pátzcuaro,wDtDMpoSt7PEWaFUrjEsQA
Queréndaro,12j9w4Y9LDuMOiKVy72NvQ
Quiroga,3_lGb20sUaUgJt2PCDSRQg
Sahuayo,MBwN3RKUVxv1EeBzPCV3AQ
Salvador Escalante,jRPIAsmx85tU_5WVVLrcMQ
San Lucas,n2g5UCaQ3_gOIOglKdR0Sg
Santa Ana Maya,Q991KXrVnke27kF6xwA8Mg
Senguio,Qic37oep9efIJOqXgMaE3Q
Susupuato,IxQnrfBMHrqnnLSdYxhcIA
Tacámbaro,dS8gLVkgDcKQJ_0Z0Y6SDQ
Tancítaro,3EAivnYetBdpU1UTUaiRig
Tangamandapio,AWDT0pytSn0ctcl_tDaZ8g
Tangancícuaro,0mfVjTBDSo4SmHLS813dfw
Tanhuato,2j1IWRbSnf5bxDcirS-Zow
Taretan,k1OhEEf-veubnzUpKlZmtA
Tarímbaro,Ll5mZQEiQYZBTFwmxHvx3A
Tepalcatepec,das89G9gSOpyaMLiCure2A
Tingambato,ZIjRPV5ImPNjwHnoNuH1Qw
Tingüindín,otU1ZCVY46NZb2CYR8VZBw
Tiquicheo de Nicolás Romero,zv37e81wlFVXEaifUoBZkg
Tlalpujahua,rbvr5ir0f_7ME0h0PbuBbQ
Tlazazalca,RESe0ECzhjWajefXHpA5gA
Tocumbo,Cf1eONEEDN4nhRZT1N8lNA
Tumbiscatío,wkF0lh-2rrYH-IaDQMcB2A
Turicato,_vgh5lfBt_d2ui1aX1l8qg
Tuxpan,R8ueGwSN7Q0L9VPlVbfZNA
Tuzantla,V6odiPEueTcHd0L9x7e-Qw
Tzintzuntzan,L-YsM2pNSYt_7dKnk1XIHA
Tzitzio,a5sjnOFZvd6lKCy5G1UPDQ
Uruapan,9YEEGJ52021Hvn0Syfrq6w
Venustiano Carranza,E_Kv2V3BBsw57ERYVUzMog
Villamar,Y9MPtbQJxdGM2r4k7Je7Uw
Vista Hermosa,AdchZWXI-dm2u3I_-WizUw
Yurécuaro,1gElIOOyl3CPWAD2PbNRWA
Zacapu,VWspgOocBnTeS6okwpmMEw
Zamora,KtQlkB2AqVu6bLbOn1rhjQ
Zinapécuaro,tuDMA-hO-SZvrkb3poc4qQ
Zináparo,1GyUoUSAzWbGfln43dKdmg
Ziracuaretiro,hooQHwbnk5iI-moiJTPeiQ
Zitácuaro,utPj9NuC8Z0CvFV5UZTE8g
Álvaro Obregón,MsgI23iksQMHgHugEhRsZA
Acambay,p4QQNFkDt0rncXy_m1Kicw
Acolman,U7X7byN-7Zre765l8vgQXw
Aculco,Pxk7xFOU_x0GqlhcQ4yOJA
Almoloya de Alquisiras,BwgSMpUQj60yvLLlHRKJKA
Almoloya de Juárez,Ze6VI51B4IQtPYlPoZglCg
Almoloya del Río,T1jWmU42rAJdjJQj9sdURg
Amanalco,qTGvjlZSpJLqx0OIpGXKeg
Amatepec,2_WN9Bwf_5tMqkRrJ40GKw
Amecameca,F2-rm73_WC4LXOIyWJW03w
Apaxco,gxbWJJv4pyKGtctKS9yeJw
Atenco,4LXgZ0a3iHd1TDAp4Xpt-w
Atizapán,-wOF81-qpPwke45nGUMcNQ
Atizapán de Zaragoza,kkBpDY2zk8E0s90lxSSyPA
Atlacomulco,dMtKkcoJg4neAh8ucEm5Cg
Atlautla,S3sg3qNFtGNOwCCfl-iyew
Axapusco,PHzaJ0Y34d0LS_2EuIwxGQ
Ayapango,rIOoWrg0t9KjQ593t2u85w
Calimaya,u6VH15hENxTbG13DjQRYrg
Capulhuac,rlNo9yj6-BfdzroA_diSQQ
Chalco,KD0JvLMCX4f6M-g8jlbMQw
Chapa de Mota,vOUNpM259axFJCCs1RPfIQ
Chapultepec,n7QA2ib7FNMBOcrEMR1ovQ
Chiautla,UaAliGdUvhrbjs-WXJ5Bnw
Chicoloapan,QoQShkNbIA2v33jazse_FQ
Chiconcuac,tFQGbiv-s0gXxZg8vxaQFA
Chimalhuacán,URxQLhu32A0ZI_PnVwjdGg
Coacalco de Berriozábal,uB6VaRxQV9Aj-wBhnsenpw
Coatepec Harinas,gNO6552BNg81N6oSrTaPOQ
Cocotitlán,d-UVdqwKLhp7j2LZdJxFMA
Coyotepec,cU4UlKPCVAfhTVxHY7Muyw
Cuautitlán,8Tg9uk7em6SrsdCtuMS8Tw
Cuautitlán Izcalli,ul8-3ulX-7LlJ8yAVhXazQ
Donato Guerra,-aP8APSjXGQ2-4TjmlP9yg
Ecatepec de Morelos,flS3NvfODDELsOqLMwBNMg
Ecatzingo,bihL37NzXtlezm5srok-rQ
El Oro,jczgcrIFFtKnBb_HMiTurg
Huehuetoca,wWP2AtW1OXi1-NBgZQi4bA
Hueypoxtla,FKbbAHUfW7asnkEPCEA-1Q
Huixquilucan,_WLWzb3QP88Caw4yYyatNg
Isidro Fabela,xFUobMN14rlCPSKCxCqjBw
Ixtapaluca,HZtYASuTk1n0UZh32v-QrA
Ixtapan de la Sal,gEccI9uiiatcyStfPQtitw
Ixtapan del Oro,23r3EIFsD3cWNfSS1XiAmw
Ixtlahuaca,bhhUP-6Qh-zFgQG_Jikxcw
Jaltenco,yeYbgKICnegVpr9Dm-A9kQ
Jilotepec,DyHW8jFN1xBKWoDmiZFFag
Jilotzingo,ACozYwf3tYL9zOhBZOxl5Q
Jiquipilco,x_UWgNOuh5YzSIs4ICu8Zg
Jocotitlán,pr4ow7Wg6KSKy7ZZZEbhpw
Joquicingo,VeOhaiANweS78M5DYP7vVw
Juchitepec,vgh3D1enkUPeaAPy4nDjOQ
La Paz,fyTMua6REv1A9oHzCDPfTQ
Lerma,OdCbiA4K9_VtxOMlxLZsXQ
Luvianos,-bwdsdM4sXgOMsojNuqC4g
Malinalco,2zUBhx5_hu0CMo_92aQqNA
Melchor Ocampo,TI08GTx4prpfRFYYLQL4aw
Metepec,x9by78xE-qG0n3S1eAnd_g
Mexicaltzingo,iMGXh81XO3CMFRRD9A3www
Morelos,5NyyVw1JdUo5wjb2td2fdA
Naucalpan de Juárez,MKv11a-7mrAVg0x5nA3-WA
Nextlalpan,tbpJXSO8O-w1X0Ibi1mcqA
Nezahualcóyotl,wzcIz7U52RVcpuBFIZZBhw
Nicolás Romero,1eGx00xPg0Rr1mhbdPaKqg
Nopaltepec,5zj--zrzZLiJxRRT1vnRDg
Ocoyoacac,xPgmGsVEOoEuNNF15X0mMA
Ocuilan,DgYFkWIlFRtF--bY78K9Sg
Otumba,gqqVsY_s0Hq-r6S-uQxCVA
Otzoloapan,eUolfq75Ausuum09y8D7Fg
Otzolotepec,NrhLKW3JRQEB_IHOYDQqeA
Ozumba,6RnSbpZNhdRk9Rfhg3WURQ
Papalotla,L5YZWnQeA789WjLPgZfTBg
Polotitlán,Z3Nis4lxPrXNEAyfi9Pc7w
Rayón,6yMTJrKXHQOmSaVR2hWD2w
San Antonio la Isla,qbTW3B2QcfBqf6c9kBdlSw
San Felipe del Progreso,PCZAM00GguEeKyWwViLIsg
San José del Rincón,Mf0YsYvqX8B3cxjy745FeQ
San Martín de las Pirámides,6i1RfsO7C8Gbv9zLeGWv9w
San Mateo Atenco,Je5jotX_nAB-2qtaDWQMAQ
San Simón de Guerrero,4f2EIrRNFURMtk6e_UTOGQ
Santo Tomás,hzpcXpUJAFYujGRrJu0KKw
Soyaniquilpan de Juárez,rLQgZVX2HbGYKyTqeBq4nQ
Sultepec,UA34tkH8F3xCe_TTxTOgCg
Tecámac,q2i1rEvhWS2mgJCbxF86lQ
Tejupilco,UL1hJ3UqSXzFxIwXSAyX0w
Temamatla,tBQl0YMHymyNJjh8yKxVnA
Temascalapa,6LC1FO1gVjekHrq3aLHLQw
Temascalcingo,a9LMa97_JD7g6ZkelptPKw
Temascaltepec,frDzS6m8IGsfMA0yGMelMA
Temoaya,io5RtAF4RQpFhHxafJIJtA
Tenancingo,6crUu9_8w0WOrVW37ylJwQ
Tenango del Aire,GITvzryWrbbGgadUAe9hJA
